command	usage	visible_children
fugue api request	fugue api request [method] <path-or-url> [flags]	-
fugue app	fugue app [command]	backup,build,command,config,create,db,delete,deploy,diagnose,domain,env,failover,fs,logs,ls,metrics,move,move-project,network,observability,overview,release,request,requests,resources,restart,restore,rollback,rollout,scale,service,source,ssh,start,status,stop,storage,traces,watch,workload
fugue app backup	fugue app backup [command]	enable,ls,run,show,status
fugue app backup enable	fugue app backup enable <app> [flags]	-
fugue app backup ls	fugue app backup ls <app> [flags]	-
fugue app backup run	fugue app backup run <app> [flags]	-
fugue app backup show	fugue app backup show <app> <backup-run-or-artifact> [flags]	-
fugue app backup status	fugue app backup status <app> [flags]	-
fugue app build	fugue app build <app> [flags]	-
fugue app command	fugue app command [command]	clear,set,show
fugue app command clear	fugue app command clear <app> [flags]	-
fugue app command set	fugue app command set <app> [shell-command] [flags]	-
fugue app command show	fugue app command show <app> [flags]	-
fugue app config	fugue app config [command]	delete,get,ls,put,reconcile,verify
fugue app config delete	fugue app config delete <app> <absolute-path...> [flags]	-
fugue app config get	fugue app config get <app> <absolute-path> [flags]	-
fugue app config ls	fugue app config ls <app> [flags]	-
fugue app config put	fugue app config put <app> <absolute-path> [flags]	-
fugue app config reconcile	fugue app config reconcile <app> <absolute-path> [flags]	-
fugue app config verify	fugue app config verify <app> <absolute-path> [flags]	-
fugue app create	fugue app create <name> [flags]	-
fugue app db	fugue app db [command]	access,configure,disable,import,localize,query,restore,schema,search,show,switchover,tables
fugue app db access	fugue app db access [command]	create,revoke,show,tunnel
fugue app db access create	fugue app db access create <app> [flags]	-
fugue app db access revoke	fugue app db access revoke <app> <grant-id> [flags]	-
fugue app db access show	fugue app db access show <app> [flags]	-
fugue app db access tunnel	fugue app db access tunnel <app> [flags]	-
fugue app db configure	fugue app db configure <app> [flags]	-
fugue app db disable	fugue app db disable <app> [flags]	-
fugue app db import	fugue app db import <app> [flags]	retry,status,verify
fugue app db import retry	fugue app db import retry <app> [flags]	-
fugue app db import status	fugue app db import status <app> [flags]	-
fugue app db import verify	fugue app db import verify <app> [flags]	-
fugue app db localize	fugue app db localize <app> [flags]	-
fugue app db query	fugue app db query <app> [flags]	-
fugue app db restore	fugue app db restore [command]	plan,verify
fugue app db restore plan	fugue app db restore plan <app> [flags]	-
fugue app db restore verify	fugue app db restore verify <app> [flags]	-
fugue app db schema	fugue app db schema <app> [table] [flags]	-
fugue app db search	fugue app db search <app> [flags]	-
fugue app db show	fugue app db show <app> [flags]	-
fugue app db switchover	fugue app db switchover <app> [runtime] [flags]	-
fugue app db tables	fugue app db tables <app> [match] [flags]	-
fugue app delete	fugue app delete <app> [flags]	-
fugue app deploy	fugue app deploy <app> [flags]	-
fugue app diagnose	fugue app diagnose <app> [flags]	-
fugue app domain	fugue app domain [command]	add,check,delete,diagnose,ls,primary,repair,verify
fugue app domain add	fugue app domain add <app> <hostname> [flags]	-
fugue app domain check	fugue app domain check <app> <hostname> [flags]	-
fugue app domain delete	fugue app domain delete <app> <hostname> [flags]	-
fugue app domain diagnose	fugue app domain diagnose <app> <hostname> [flags]	-
fugue app domain ls	fugue app domain ls <app> [flags]	-
fugue app domain primary	fugue app domain primary [command]	check,set,show
fugue app domain primary check	fugue app domain primary check <app> <hostname> [flags]	-
fugue app domain primary set	fugue app domain primary set <app> <hostname> [flags]	-
fugue app domain primary show	fugue app domain primary show <app> [flags]	-
fugue app domain repair	fugue app domain repair <app> <hostname> [flags]	-
fugue app domain verify	fugue app domain verify <app> <hostname> [flags]	-
fugue app env	fugue app env [command]	export,generated,ls,set,unset
fugue app env export	fugue app env export <app> [flags]	-
fugue app env generated	fugue app env generated [command]	set,show,unset
fugue app env generated set	fugue app env generated set <app> <KEY...> [flags]	-
fugue app env generated show	fugue app env generated show <app> [flags]	-
fugue app env generated unset	fugue app env generated unset <app> <KEY...> [flags]	-
fugue app env ls	fugue app env ls <app> [flags]	-
fugue app env set	fugue app env set <app> [KEY=VALUE...] [flags]	-
fugue app env unset	fugue app env unset <app> <KEY...> [flags]	-
fugue app failover	fugue app failover [flags]	exec,policy,status
fugue app failover exec	fugue app failover exec <app> [flags]	-
fugue app failover policy	fugue app failover policy [command]	clear,set
fugue app failover policy clear	fugue app failover policy clear <app> [flags]	-
fugue app failover policy set	fugue app failover policy set <app> [flags]	-
fugue app failover status	fugue app failover status [app] [flags]	-
fugue app fs	fugue app fs [command]	delete,get,ls,mkdir,put
fugue app fs delete	fugue app fs delete <app> <path> [flags]	-
fugue app fs get	fugue app fs get <app> <path> [flags]	-
fugue app fs ls	fugue app fs ls <app> [path] [flags]	-
fugue app fs mkdir	fugue app fs mkdir <app> <path> [flags]	-
fugue app fs put	fugue app fs put <app> <path> [flags]	-
fugue app logs	fugue app logs [app] [flags]	build,pods,query,runtime,table
fugue app logs build	fugue app logs build <app> [flags]	-
fugue app logs pods	fugue app logs pods <app> [flags]	-
fugue app logs query	fugue app logs query <app> [flags]	-
fugue app logs runtime	fugue app logs runtime <app> [flags]	-
fugue app logs table	fugue app logs table <app> [flags]	-
fugue app ls	fugue app ls [flags]	-
fugue app metrics	fugue app metrics <app> [flags]	-
fugue app move	fugue app move <app> [flags]	-
fugue app move-project	fugue app move-project <app> [flags]	-
fugue app network	fugue app network [command]	clear,set,show
fugue app network clear	fugue app network clear <app> [flags]	-
fugue app network set	fugue app network set <app> [flags]	-
fugue app network show	fugue app network show <app> [flags]	-
fugue app observability	fugue app observability [command]	export
fugue app observability export	fugue app observability export <app> [flags]	-
fugue app overview	fugue app overview <app> [flags]	-
fugue app release	fugue app release [command]	abort,attempts,canary,debug-bundle,explain,gate,ls,policy,probe,promote,prune,status,tracking,traffic
fugue app release abort	fugue app release abort <app> [release-id] [flags]	-
fugue app release attempts	fugue app release attempts <app> [flags]	-
fugue app release canary	fugue app release canary [command]	start
fugue app release canary start	fugue app release canary start <app> [flags]	-
fugue app release debug-bundle	fugue app release debug-bundle <app> [flags]	-
fugue app release explain	fugue app release explain <app> [flags]	-
fugue app release gate	fugue app release gate <app> [release-id] [flags]	-
fugue app release ls	fugue app release ls <app> [flags]	-
fugue app release policy	fugue app release policy [command]	set,show
fugue app release policy set	fugue app release policy set <app> [flags]	-
fugue app release policy show	fugue app release policy show <app> [flags]	-
fugue app release probe	fugue app release probe <app> [release-id] [flags]	-
fugue app release promote	fugue app release promote <app> [release-id] [flags]	-
fugue app release prune	fugue app release prune <app> [flags]	-
fugue app release status	fugue app release status <app> [flags]	-
fugue app release tracking	fugue app release tracking <app> [flags]	diagnose,disable,history,set,sync
fugue app release tracking diagnose	fugue app release tracking diagnose <app> [flags]	-
fugue app release tracking disable	fugue app release tracking disable <app> [flags]	-
fugue app release tracking history	fugue app release tracking history <app> [flags]	-
fugue app release tracking set	fugue app release tracking set <app> [flags]	-
fugue app release tracking sync	fugue app release tracking sync <app> [flags]	-
fugue app release traffic	fugue app release traffic <app> [flags]	-
fugue app request	fugue app request <app> [method] <path> [flags]	compare,stream
fugue app request compare	fugue app request compare <app> [method] <path> [flags]	-
fugue app request stream	fugue app request stream <app> [method] <path> [flags]	-
fugue app requests	fugue app requests <app> [flags]	-
fugue app resources	fugue app resources [command]	apply,auto,clear,recommend,set,show
fugue app resources apply	fugue app resources apply <app> [flags]	-
fugue app resources auto	fugue app resources auto <app> [flags]	-
fugue app resources clear	fugue app resources clear <app> [flags]	-
fugue app resources recommend	fugue app resources recommend <app> [flags]	-
fugue app resources set	fugue app resources set <app> [flags]	-
fugue app resources show	fugue app resources show <app> [flags]	-
fugue app restart	fugue app restart <app> [flags]	-
fugue app restore	fugue app restore [command]	plan,run,verify
fugue app restore plan	fugue app restore plan <app> [flags]	-
fugue app restore run	fugue app restore run <app> [flags]	-
fugue app restore verify	fugue app restore verify <app> [flags]	-
fugue app rollback	fugue app rollback <app> [image-ref] [flags]	-
fugue app rollout	fugue app rollout [command]	timeline
fugue app rollout timeline	fugue app rollout timeline <app> [flags]	-
fugue app scale	fugue app scale <app> [flags]	-
fugue app service	fugue app service [command]	attach,detach,ls
fugue app service attach	fugue app service attach <app> <service> [flags]	-
fugue app service detach	fugue app service detach <app> <binding-or-service> [flags]	-
fugue app service ls	fugue app service ls <app> [flags]	-
fugue app source	fugue app source [command]	bind-github,show
fugue app source bind-github	fugue app source bind-github <app> <repo-or-url> [flags]	-
fugue app source show	fugue app source show <app> [flags]	-
fugue app ssh	fugue app ssh <app> [flags]	config,diagnose,disable,enable,rotate-port,show
fugue app ssh config	fugue app ssh config <app> [flags]	-
fugue app ssh diagnose	fugue app ssh diagnose <app> [flags]	-
fugue app ssh disable	fugue app ssh disable <app> [flags]	-
fugue app ssh enable	fugue app ssh enable <app> [flags]	-
fugue app ssh rotate-port	fugue app ssh rotate-port <app> [flags]	-
fugue app ssh show	fugue app ssh show <app> [flags]	-
fugue app start	fugue app start <app> [flags]	-
fugue app status	fugue app status <app> [flags]	-
fugue app stop	fugue app stop <app> [flags]	-
fugue app storage	fugue app storage [command]	disable,replication,reset,set,show
fugue app storage disable	fugue app storage disable <app> [flags]	-
fugue app storage replication	fugue app storage replication [command]	disable,set,show
fugue app storage replication disable	fugue app storage replication disable <app> [flags]	-
fugue app storage replication set	fugue app storage replication set <app> [flags]	-
fugue app storage replication show	fugue app storage replication show <app> [flags]	-
fugue app storage reset	fugue app storage reset <app> [flags]	-
fugue app storage set	fugue app storage set <app> [flags]	-
fugue app storage show	fugue app storage show <app> [flags]	-
fugue app traces	fugue app traces <app> <trace_id> [flags]	-
fugue app watch	fugue app watch <app> [flags]	-
fugue app workload	fugue app workload [command]	clear,set,show
fugue app workload clear	fugue app workload clear <app> [flags]	-
fugue app workload set	fugue app workload set <app> [flags]	-
fugue app workload show	fugue app workload show <app> [flags]	-
fugue auth	fugue auth [command]	login,logout,status
fugue auth login	fugue auth login [flags]	-
fugue auth logout	fugue auth logout [flags]	-
fugue auth status	fugue auth status [flags]	-
fugue backup	fugue backup [command]	artifact,backend,policy,restore,run,usage
fugue backup artifact	fugue backup artifact [command]	delete,ls,show
fugue backup artifact delete	fugue backup artifact delete <artifact> [flags]	-
fugue backup artifact ls	fugue backup artifact ls [flags]	-
fugue backup artifact show	fugue backup artifact show <artifact> [flags]	-
fugue backup backend	fugue backup backend [command]	create,delete,ls,rotate,show,test
fugue backup backend create	fugue backup backend create <name> [flags]	-
fugue backup backend delete	fugue backup backend delete <backend> [flags]	-
fugue backup backend ls	fugue backup backend ls [flags]	-
fugue backup backend rotate	fugue backup backend rotate <backend> [flags]	-
fugue backup backend show	fugue backup backend show <backend> [flags]	-
fugue backup backend test	fugue backup backend test <backend> [flags]	-
fugue backup policy	fugue backup policy [command]	disable,enable,ls,show
fugue backup policy disable	fugue backup policy disable <policy> [flags]	-
fugue backup policy enable	fugue backup policy enable [flags]	-
fugue backup policy ls	fugue backup policy ls [flags]	-
fugue backup policy show	fugue backup policy show <policy> [flags]	-
fugue backup restore	fugue backup restore [command]	control-plane,ls,plan,run
fugue backup restore control-plane	fugue backup restore control-plane <artifact> [flags]	-
fugue backup restore ls	fugue backup restore ls [flags]	-
fugue backup restore plan	fugue backup restore plan <artifact> [flags]	-
fugue backup restore run	fugue backup restore run <plan> [flags]	-
fugue backup run	fugue backup run [command]	ls,show,start
fugue backup run ls	fugue backup run ls [flags]	-
fugue backup run show	fugue backup run show <run> [flags]	-
fugue backup run start	fugue backup run start [flags]	-
fugue backup usage	fugue backup usage [flags]	-
fugue completion	fugue completion [command]	bash,fish,powershell,zsh
fugue completion bash	fugue completion bash	-
